Title: The HD 191939 Exoplanet System is Well-Aligned and Flat 
Authors: Lubin J., Petigura E.A., Van Zandt J., Beard C., Dai F., Halverson S.,
         Holcomb R., Howard A., Isaacson H., Luhn J., Robertson P., 
         Rubenzahl R.A., Stefansson G., Winn J.N., Brodheim M., Deich W., 
         Hill G.M., Gibson S.R., Holden B., Householder A., Laher R.R., 
         Lanclos K., Payne J., Roy A., Smith R., Shaum A.P., 
         Schwab C., Walawender J. 
Table: Observations
================================================================================
Byte-by-byte Description of file: ajad79edt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 13 F13.5  d       BJD     Barycentric Julian Date
  15- 22 F8.2   m/s     RVel    Radial velocity from Inst
  24- 28 F5.2   m/s   e_RVel    Uncertainty in RVel
  30- 37 A8     ---     Inst    Instrument used
  39- 47 A9     ---     Source  Source identifier (1)
--------------------------------------------------------------------------------
Note (1):
            A = Orell-Miquel et al. (2023) [2023A&A...669A..40O];
            B = Lubin et al. (2022) [2022AJ....163..101L];
            C = Polanski et al. (2024) [2024ApJS..272...32P];
    This work = These three are the only RVs used in this study that 
                have not been previously published.
--------------------------------------------------------------------------------
2459171.28809   -11.84  2.33 CARMENES A
2459172.36135   -12.93  2.92 CARMENES A
2459173.32436    -5.91  2.26 CARMENES A
2459174.33344    -0.28  2.85 CARMENES A
2459175.36696     2.26  2.21 CARMENES A
2459176.34628   -13.37  2.45 CARMENES A
2459177.27529    -9.24  2.06 CARMENES A
2459178.31841    -9.87  2.26 CARMENES A
2459179.69001   -28.20  4.09 APF      B
2459181.71437   -11.79  1.63 HIRES    B
2459183.62606   -15.81  3.30 APF      B
2459185.62544   -26.08  2.84 APF      B
2459186.30813    -3.48  3.15 CARMENES A
2459186.82420   -12.59  3.34 APF      B
2459187.62213   -24.89  3.25 APF      B
2459187.76365   -15.62  1.30 HIRES    B
2459189.73620   -11.76  8.13 APF      B
2459189.79378   -11.96  1.43 HIRES    B
2459192.62103     2.69  3.63 APF      B
2459193.32253     2.35  5.44 CARMENES A
2459197.32862     4.60  4.06 CARMENES A
2459203.61706     0.65  3.30 APF      B
2459204.30719 -9213.65  1.36 HARPS-N  A
2459204.59957     4.67  2.77 APF      B
2459205.30698 -9215.83  0.76 HARPS-N  A
2459206.30665 -9214.86  0.82 HARPS-N  A
2459207.31054 -9213.19  1.09 HARPS-N  A
2459208.70865    15.05  1.30 HIRES    B
2459215.31793    29.47  5.87 CARMENES A
2459215.33211    26.67  5.40 CARMENES A
2459222.61224    13.20  3.08 APF      B
2459225.04922    11.81  3.77 APF      B
2459228.01502    28.67  6.51 APF      B
2459229.00958    15.22  4.32 APF      B
2459230.02299    13.14  5.00 APF      B
2459231.00361    20.46  4.37 APF      B
2459235.04070    16.80  3.18 APF      B
2459253.94299    -7.12  4.25 APF      B
2459263.93315   -15.57  4.62 APF      C
2459270.03729    -5.61  3.83 APF      C
2459273.73118     5.58  2.95 CARMENES A
2459296.03512    -6.50  3.21 APF      C
2459300.14671    10.36  1.26 HIRES    C
2459300.84631     5.46  3.00 APF      C
2459302.84218    -1.07  3.34 APF      C
2459304.87545     5.45  3.13 APF      C
2459306.68203    33.72  3.57 CARMENES A
2459306.93994    15.68  3.06 APF      C
2459307.86101    30.90  4.01 APF      C
2459308.73719 -9196.63  1.00 HARPS-N  A
2459309.73053 -9193.71  1.66 HARPS-N  A
2459310.71954 -9204.62  1.67 HARPS-N  A
2459314.14111    23.23  1.20 HIRES    C
2459314.87263    20.21  4.66 APF      C
2459315.98325    26.18  2.87 APF      C
2459318.79204    37.64  7.41 APF      C
2459319.96873    29.90  2.70 APF      C
2459320.96366    27.92  2.50 APF      C
2459322.95792    23.73  2.68 APF      C
2459323.79453    17.04  3.71 APF      C
2459324.78661    25.27  3.46 APF      C
2459326.95630    30.79  2.96 APF      C
2459327.59238    32.01  3.26 CARMENES A
2459327.76046    13.13  4.30 APF      C
2459331.98671    29.47  3.06 APF      C
2459332.76763    21.70  3.38 APF      C
2459334.91669    24.79  3.51 APF      C
2459336.81696    31.80  4.67 APF      C
2459337.92400    20.89  3.10 APF      C
