This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jul 03 11:01:18 2025

"TIC ID","TOI","CTOI","Master priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","View all TFOPWG Disposition","TESS mag","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM Dec (mas/yr)","Transit Epoch (BJD)","Period (days)","Duration (hours)","Depth (mmag)","Depth (ppm)","Planet Radius (R_Earth)","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Teff (K)","Stellar log(g) (cm/s2)","Stellar Radius (R_Sun)","Stellar Metallicity","Stellar Mass (M_Sun)","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"201248411","129.01","","3","5","3","4","4","4","108.7","330.7","29.49","12","1","1","CP","CP","129.01","9.9005","1","spoc-s01-s36-b0A-CPKP","SPOC","0.185606","-54.830823","-202.815","-71.518","2460205.646862","0.980972","0.54050355175474","6.728913","6178.3924209755","5.9162923332499","719.56290446087","1320.9517090415","167.35898","61.7856","4486","4.49914","0.76440101861954","","0.7","1,2,28,29,68,69","TOI 129.01 / HIP 65 A b","2018-10-22","2023-11-15","2023-11-15"
"263003176","130.01","","3","5","5","4","3","4","4.3","73.4","5.9","2","9","5","CP","CP","130.01","7.4371","1","spoc-s01-s69-b0A-CP","SPOC","12.546778","-83.743767","139.424","30.476","2458336.557651","14.33921442256","4.6064738553285","0.426381","392.63468715086","2.2963232600569","118.75384884107","841.94102757327","32.31029","57.5846","6295.7","4.438","1.1374200582504","","1.23","1,12,13,27,39,66","HD 5278 b","2018-09-05","2024-09-17","2024-10-01"
"235037761","131.01","","5","5","5","3","5","5","225.7","278.5","317","6","1","9","PC","APC","131.01","9.8567","1","qlp-s68-ffi","SPOC","353.828713","-64.561917","192.826","-31.069","2460173.338551","6.2407826","1.513","6.658567","6114","16.0959","41.7384","708","14","","4174","4.34197","0.9","","","1,28,68","V shaped; TFOP APC; previously retired as BEB due to chromaticity","2018-09-05","2023-11-15","2023-12-08"
"89020549","132.01","","2","5","2","4","4","4","10.5","67.8","12.19","12","2","8","CP","CP","132.01","10.8061","1","spoc-s01-s69-b0A-CP","SPOC","338.399662","-43.436872","35.553","-53.055","2458326.904918","2.1096804606003","2.1344042622108","1.422953","1309.7297125835","3.6396725218416","644.21381358982","1284.9234579759","23.500671","163.678","5673","4.55383","0.94080597162247","","0.91","1,28,68","TOI-132 b / TOI-132.01","2018-09-05","2025-06-04","2025-06-04"
"219338557","133.01","","2","4","2","3","4","4","2.8","51.1","4.36","11","15","3","PC","PC","133.01","9.9762","1","spoc-s01-s69-b0A-PC","SPOC","354.397374","-58.955078","196.638","-102.545","2458327.280273","8.1995368499713","2.1168277450972","0.981264","903.36944308293","1.922621075272","26.235311406153","577.21991356642","14.419014","48.6326","4028","4.55902","0.65053302049637","","0.67","1,28,68","","2018-09-05","2024-04-24","2024-04-30"
"234994474","134.01","","1","5","5","4","1","4","11.3","15.5","2.74","7","5","9","CP","CP","134.01","9.22978","1","spoc-s01-s69-b0A-CP","SPOC/QLP","350.028592","-60.065729","-319.961","-127.781","2458326.034032","1.4015182601658","1.158306136657","0.644852","593.75409215611","1.4616853132728","149.37475428315","891.6389885367","20.450527","25.1496","3794","4.67812","0.59700697660446","","0.58564","1,28,68","L 168-9 b","2018-09-05","2024-09-30","2024-10-01"
"267263253","135.01","","5","5","5","4","5","5","146.8","206.2","317","2","1","3","CP","CP","135.01","9.2205","1","qlp-s68-ffi","SPOC","7.328916","-76.304032","-2.97","6.961","2460174.637067","4.1269046","4.405","11.823757","10831","17.0952","1436.49","1715","389","196.852","6888","4.23416","1.59","","1.46","1,27,28,67,68","HD 2685b","2018-09-05","2023-11-16","2023-12-08"
"410153553","136.01","","1","5","5","4","1","4","38.2","326.7","2.92","11","1","5","PC","CP","136.01","11.9238","1","spoc","UNKNOWN","340.496204","-69.172108","334.357","-726.974","2459036.323679","0.46288440527326","0.55882192078813","4.885837","4489.9119215305","1.354323680243","64.718104042017","723.39615494047","25.038494","14.8846","3043","5.09707","0.188624","","0.157909","1,27","Level 1 target. Potential short period small planet around an M dwarf.","2018-09-05","2020-10-27","2022-12-14"
"176957796","137.01","","5","5","5","5","5","5","2.3","33.5","3.59","2","6","3","IS","FA","137.01","10.702","1","qlp-s31-tois","UNKNOWN","101.297491","-66.238326","18.528","-67.531","2459199.440315","4.8173797","1.323","1.956086","1800","1.71137","33.919","672","1000","88.8838","4651","4.56937","0.69","","0.74","1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31","TFOP FA","2018-09-05","2021-12-07","2022-12-14"
"277683130","138.01","","5","5","5","3","5","5","36.2","169.3","47.73","2","1","6","PC","APC","138.01","9.5739","1","qlp-s68-ffi","SPOC","328.926018","-61.673257","-23.8","2.8","2460175.14238","6.1982658","1.912","4.23829","3896","7.84585","234.343","","93","128.488","5722","4.35582","1.11","","","1,27,28,67,68","TFOP SB2/APC","2018-09-05","2023-11-16","2023-12-08"
