Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
TOI 568.01,,,,0.32,,,858.0,,9.5972,2.9439,8.2,305.68,,,True,toi
TOI 1294.01,0.059,0.043,,0.84,,1863.0,1170.0,,3.9153,2.562,10.0,332.65,5714.0,4.049,True,toi
TOI 539.01,0.042,0.01,,0.14,,2780.0,2138.0,,0.3096,1.0299,9.2,108.37,4902.0,4.521,True,toi
TOI 1011.01,0.007,0.008,,0.13,,1609.0,1364.0,,2.4705,2.191,7.1,52.62,5414.0,4.464,True,toi
TOI 151.01,0.017,0.019,,0.32,,1615.0,1548.0,,1.5978,1.49,9.7,137.5,5145.0,4.61,True,toi
TOI 1145.01,,,,,,,1868.0,,2.9723,1.418,8.6,438.39,12433.0,,True,toi
TOI 1068.01,0.036,0.056,,1.2,,1503.0,1264.0,,3.1804,2.1115,12.1,535.38,5500.0,4.467,True,toi
TOI 127.01,0.0,0.029,,0.92,,684.0,526.0,,3.7955,2.0198,11.7,140.23,3402.0,4.786,True,toi
TOI 324.01,0.069,0.094,,1.91,,1586.0,1220.0,,5.2849,4.7725,12.5,944.55,6113.0,4.289,True,toi
TOI 529.01,0.001,0.09,,0.62,,703.0,464.0,,1.6659,4.9567,11.6,63.05,3181.0,4.994,True,toi
TOI 694.01,0.0,0.009,,1.15,,624.0,480.0,,48.0512,4.3071,10.1,223.88,5355.0,4.371,True,toi
TOI 649.01,0.327,0.053,,0.85,,4161.0,2079.0,,0.9371,1.312,9.3,430.62,6779.0,3.828,True,toi
TOI 1180.01,0.0,0.005,,0.27,,809.0,707.0,,9.6868,2.512,8.6,72.02,4700.0,4.59,True,toi
TOI 1367.01,0.107,0.036,,0.48,,2603.0,2665.0,,2.0881,2.307,8.5,195.86,6550.0,4.109,True,toi
TOI 844.01,0.004,0.008,,0.64,,1408.0,1083.0,,8.9066,1.9618,10.9,472.3,5830.0,4.098,True,toi
TOI 986.01,0.523,0.083,,0.89,,4622.0,3913.0,,0.5477,1.038,9.9,407.54,8031.0,4.293,True,toi
TOI 866.01,,,,1.65,,,1602.0,,22.3389,3.4122,7.6,455.06,5091.0,,True,toi
TOI 1173.01,0.009,0.057,,0.84,,1127.0,890.0,,7.0644,2.424,9.1,132.35,5322.0,4.44,True,toi
TOI 1253.01,0.01,0.011,,0.36,,1666.0,1199.0,,4.6757,1.95,8.9,185.23,5641.0,4.115,True,toi
TOI 411.02,0.006,0.007,,0.14,,1632.0,1256.0,,4.0404,3.5274,7.0,62.78,6161.0,4.41,True,toi
TOI 447.01,0.442,0.595,,2.1,,1605.0,1235.0,,5.5293,2.5429,8.2,126.18,6434.0,4.349,True,toi
TOI 733.01,0.002,0.007,,0.17,,1324.0,1076.0,,4.8848,2.51,7.8,75.21,5667.0,4.498,True,toi
TOI 140.01,0.274,0.072,,1.14,,2888.0,2222.0,,2.2813,1.1602,9.0,337.11,6231.0,3.773,True,toi
TOI 1259.01,0.036,0.166,,1.12,,1166.0,897.0,,3.478,2.5103,9.6,118.11,4699.0,4.546,True,toi
TOI 193.01,1.077,0.377,,1.16,,2386.0,1571.0,,0.7921,0.466,8.0,80.44,5374.0,4.424,True,toi
TOI 856.01,,,,1.49,,,709.0,,5.4014,1.442,9.0,574.71,5272.0,,True,toi
TOI 223.01,,,,0.29,,,629.0,,14.4459,1.5333,9.0,365.05,5276.0,,True,toi
