draw_index,stable,note,m_b,a_b,e_b,inc_b,Omega_b,omega_b,M_b,m_c,a_c,e_c,inc_c,Omega_c,omega_c,M_c,m_d,a_d,e_d,inc_d,Omega_d,omega_d,M_d,m_e,a_e,e_e,inc_e,Omega_e,omega_e,M_e,detail_file
3817,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.765537e-05,0.17053354,0.3195273,1.5707963267948966,0.0,-2.2192824,1.8264661,1.0357382e-05,0.20746553,0.27463177,1.5707963267948966,0.0,-2.219698,4.184676,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3817.csv
271,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.9022871e-05,0.17053464,0.25395912,1.5707963267948966,0.0,-3.000632,2.6465716,1.267922e-05,0.20746127,0.21802445,1.5707963267948966,0.0,-3.0032012,5.012322,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_271.csv
3029,True,stable,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6476175e-05,0.1705348,0.0008040991,1.5707963267948966,0.0,-1.6955253,0.8307686,9.133852e-06,0.20746212,0.00016304158,1.5707963267948966,0.0,1.3617574,0.20897797,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3029.csv
2394,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,2.2642676e-05,0.17053376,0.20231694,1.5707963267948966,0.0,-2.4087393,1.8760705,1.547185e-05,0.20746657,0.17196304,1.5707963267948966,0.0,-2.4032404,4.251582,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2394.csv
5574,False,encounter,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4192322e-05,0.17053412,0.35630518,1.5707963267948966,0.0,-2.1913774,1.8497996,9.381408e-06,0.20746428,0.30754912,1.5707963267948966,0.0,-2.1942666,4.2030334,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5574.csv
2724,False,encounter,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.686049e-05,0.17053354,0.37669414,1.5707963267948966,0.0,-2.2196362,1.9339194,1.1413039e-05,0.20746483,0.32455844,1.5707963267948966,0.0,-2.2200675,4.2727346,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2724.csv
4713,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.8972922e-05,0.17053391,0.22573934,1.5707963267948966,0.0,-2.3271837,1.813479,1.2633791e-05,0.20746592,0.19295721,1.5707963267948966,0.0,-2.3257203,4.190884,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4713.csv
4865,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.938794e-05,0.17053439,0.1707246,1.5707963267948966,0.0,-2.5505302,1.9891934,1.1537837e-05,0.20746402,0.1457681,1.5707963267948966,0.0,-2.5508924,4.378777,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4865.csv
4157,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6954455e-05,0.1705348,0.14810486,1.5707963267948966,0.0,-2.805456,2.2294497,1.0834504e-05,0.20746252,0.12698299,1.5707963267948966,0.0,-2.809614,4.6275616,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4157.csv
9,False,encounter,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4025009e-05,0.17053406,0.3502975,1.5707963267948966,0.0,-2.1982372,1.849751,8.916837e-06,0.20746394,0.3025222,1.5707963267948966,0.0,-2.2013302,4.2051044,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_9.csv
4469,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,2.048123e-05,0.17053372,0.20771658,1.5707963267948966,0.0,-2.216741,1.6357841,1.3237047e-05,0.20746729,0.17727661,1.5707963267948966,0.0,-2.2124557,4.020031,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4469.csv
1876,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.5190345e-05,0.1705346,0.15230483,1.5707963267948966,0.0,-2.4667802,1.8575215,9.110064e-06,0.2074634,0.13084175,1.5707963267948966,0.0,-2.4728727,4.2618194,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1876.csv
55,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,2.4870063e-05,0.17053267,0.2743692,1.5707963267948966,0.0,-2.2201805,1.7483277,1.6010079e-05,0.20746963,0.23397614,1.5707963267948966,0.0,-2.212972,4.108137,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_55.csv
3348,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.9144882e-05,0.17053434,0.23832357,1.5707963267948966,0.0,-2.4961724,2.054461,1.2627411e-05,0.20746395,0.2037284,1.5707963267948966,0.0,-2.4971423,4.4246182,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3348.csv
5052,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6048949e-05,0.1705343,0.2535223,1.5707963267948966,0.0,-2.3775303,1.9308581,1.0417656e-05,0.20746404,0.21781191,1.5707963267948966,0.0,-2.3798447,4.3039384,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5052.csv
1723,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.7515864e-05,0.17053367,0.3191308,1.5707963267948966,0.0,-2.29165,1.9346337,1.1544231e-05,0.2074649,0.2741539,1.5707963267948966,0.0,-2.2919135,4.2873726,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1723.csv
2898,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.8943609e-05,0.17053507,0.12747923,1.5707963267948966,0.0,-3.0716786,2.4620423,1.1857141e-05,0.20746168,0.10878016,1.5707963267948966,0.0,-3.0792625,4.867868,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2898.csv
2981,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.5259224e-05,0.17053445,0.20327191,1.5707963267948966,0.0,-2.604793,2.1161761,1.0337942e-05,0.20746367,0.1748916,1.5707963267948966,0.0,-2.6067865,4.498666,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2981.csv
2079,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.7094128e-05,0.17053494,0.1222062,1.5707963267948966,0.0,-2.445508,1.7795396,1.1061277e-05,0.20746379,0.10430559,1.5707963267948966,0.0,-2.4496577,4.189289,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2079.csv
